0,273,1,9,2,6,12,15,18,17,11,Tue Jun 20 23:11:50 2023
0,153,0,19,4,13,11,18,2,12,1,Tue Jun 20 23:11:50 2023
0,117,1,9,13,12,10,2,5,17,15,Tue Jun 20 23:11:51 2023
0,159,1,3,12,2,16,18,1,14,4,Tue Jun 20 23:11:51 2023
0,219,0,6,2,3,5,12,7,16,19,Tue Jun 20 23:11:52 2023
0,297,1,19,12,8,3,10,6,18,2,Tue Jun 20 23:11:52 2023
0,136,1,16,19,2,17,5,18,9,10,Tue Jun 20 23:11:53 2023
0,189,1,12,5,10,18,17,16,13,1,Tue Jun 20 23:11:53 2023
0,116,1,16,13,0,12,17,7,10,3,Tue Jun 20 23:11:54 2023
0,43,1,2,13,16,9,14,12,8,5,Tue Jun 20 23:11:54 2023
0,2,1,10,14,16,0,9,11,8,12,Tue Jun 20 23:11:55 2023
0,75,1,7,9,6,3,11,15,14,13,Tue Jun 20 23:11:55 2023
0,39,0,3,19,1,15,7,17,14,6,Tue Jun 20 23:11:56 2023
0,259,1,16,4,1,6,15,8,2,17,Tue Jun 20 23:11:56 2023
0,95,1,6,15,5,17,13,12,4,0,Tue Jun 20 23:11:57 2023
0,123,1,2,6,13,3,5,19,10,0,Tue Jun 20 23:11:57 2023
0,90,0,3,13,17,7,15,14,9,10,Tue Jun 20 23:11:58 2023
0,287,0,16,10,1,19,2,17,8,4,Tue Jun 20 23:11:58 2023
0,206,1,4,7,12,0,8,15,1,14,Tue Jun 20 23:11:59 2023
0,250,1,8,5,11,6,14,10,18,12,Tue Jun 20 23:11:59 2023
0,168,1,15,14,6,0,11,3,18,17,Tue Jun 20 23:12:00 2023
0,264,0,6,11,2,16,17,15,9,13,Tue Jun 20 23:12:00 2023
0,42,1,14,2,15,0,10,3,17,12,Tue Jun 20 23:12:01 2023
0,53,1,13,7,17,6,19,3,9,16,Tue Jun 20 23:12:03 2023
0,246,0,15,13,17,5,7,8,0,18,Tue Jun 20 23:12:04 2023
0,21,0,8,10,16,11,17,18,13,19,Tue Jun 20 23:12:04 2023
0,97,0,3,9,8,12,1,6,4,11,Tue Jun 20 23:12:05 2023
0,129,1,11,7,0,1,2,17,15,10,Tue Jun 20 23:12:08 2023
0,268,1,8,9,14,10,19,15,3,0,Tue Jun 20 23:12:09 2023
